caminho_lockfile,pacote,versao,dependencia_direta,grupo_direto,dev,devOptional,optional,hasInstallScript
node_modules/@unrs/resolver-binding-linux-x64-musl,@unrs/resolver-binding-linux-x64-musl,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-openharmony-arm64,@unrs/resolver-binding-openharmony-arm64,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-wasm32-wasi,@unrs/resolver-binding-wasm32-wasi,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-wasm32-wasi/node_modules/@emnapi/runtime,@emnapi/runtime,1.10.0,False,,True,False,True,False
node_modules/@unrs/resolver-binding-win32-arm64-msvc,@unrs/resolver-binding-win32-arm64-msvc,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-win32-ia32-msvc,@unrs/resolver-binding-win32-ia32-msvc,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-win32-x64-msvc,@unrs/resolver-binding-win32-x64-msvc,1.12.2,False,,True,False,True,False
node_modules/@vitest/mocker,@vitest/mocker,5.0.0,False,,True,False,False,False
node_modules/@vitest/mocker/node_modules/magic-string,magic-string,1.2.3,False,,True,False,False,False
node_modules/@vitest/spy,@vitest/spy,5.0.0,False,,True,False,False,False
node_modules/accepts,accepts,1.3.8,False,,False,False,False,False
node_modules/accepts/node_modules/mime-db,mime-db,1.52.0,False,,False,False,False,False
node_modules/accepts/node_modules/mime-types,mime-types,2.1.35,False,,False,False,False,False
node_modules/acorn,acorn,8.18.0,False,,True,False,False,False
node_modules/acorn-jsx,acorn-jsx,5.3.2,False,,True,False,False,False
node_modules/ajv,ajv,6.15.0,False,,True,False,False,False
node_modules/ajv-formats,ajv-formats,3.0.1,False,,False,False,False,False
node_modules/ajv-formats/node_modules/ajv,ajv,8.20.0,False,,False,False,False,False
node_modules/ajv-formats/node_modules/json-schema-traverse,json-schema-traverse,1.0.0,False,,False,False,False,False
node_modules/ansi-styles,ansi-styles,4.3.0,False,,True,False,False,False
node_modules/archiver,archiver,5.3.2,False,,False,False,False,False
node_modules/archiver-utils,archiver-utils,2.1.0,False,,False,False,False,False
node_modules/archiver-utils/node_modules/glob,glob,7.2.3,False,,False,False,False,False
node_modules/archiver-utils/node_modules/isarray,isarray,1.0.0,False,,False,False,False,False
node_modules/archiver-utils/node_modules/readable-stream,readable-stream,2.3.8,False,,False,False,False,False
node_modules/archiver-utils/node_modules/safe-buffer,safe-buffer,5.1.2,False,,False,False,False,False
node_modules/archiver-utils/node_modules/string_decoder,string_decoder,1.1.1,False,,False,False,False,False
node_modules/argparse,argparse,2.0.1,False,,True,False,False,False
node_modules/aria-query,aria-query,5.3.2,False,,True,False,False,False
node_modules/array-buffer-byte-length,array-buffer-byte-length,1.0.2,False,,True,False,False,False
node_modules/array-includes,array-includes,3.1.9,False,,True,False,False,False
